Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/12/2024,"Kindle Svcs*RY8X672A0 888-802-3080 WA        07/12",-4.86,DEBIT_CARD, ,,
DEBIT,07/11/2024,"AMAZON MKTPL*RY6G08G Amzn.com/bill WA        07/11",-34.63,DEBIT_CARD, ,,
DEBIT,07/10/2024,"AMAZON MKTPL*RY57W8Z Amzn.com/bill WA        07/09",-10.81,DEBIT_CARD, ,,
DEBIT,07/10/2024,"AMAZON MKTPL*RY0LH6G Amzn.com/bill WA        07/09",-9.73,DEBIT_CARD, ,,
DEBIT,07/10/2024,"Kindle Svcs*RY6LK8Z61 888-802-3080 WA        07/09",-5.40,DEBIT_CARD, ,,
DEBIT,07/09/2024,"Amazon.com*RY2XI9JI0 Amzn.com/bill WA        07/08",-21.64,DEBIT_CARD, ,,
DEBIT,07/09/2024,"AMZN Mktp US*R72313Y Amzn.com/bill WA        07/08",-14.07,DEBIT_CARD, ,,
DEBIT,07/09/2024,"Kindle Svcs*RY36U2CC1 888-802-3080 WA        07/09",-1.07,DEBIT_CARD, ,,
DEBIT,07/08/2024,"AMAZON MKTPL*R71LK78 Amzn.com/bill WA        07/06",-24.98,DEBIT_CARD, ,,
DEBIT,07/08/2024,"AMAZON MKTPL*R72MZ29 Amzn.com/bill WA        07/08",-21.99,DEBIT_CARD, ,,
DEBIT,07/08/2024,"Kindle Svcs*R74GO77I2 888-802-3080 WA        07/07",-5.39,DEBIT_CARD, ,,
DEBIT,07/05/2024,"EXXON EXPRESS FOOD MART AUSTIN TX            07/03",-42.06,DEBIT_CARD, ,,
DEBIT,07/03/2024,"GOOGLE *Google Stora g.co/helppay# CA        07/02",-2.12,DEBIT_CARD, ,,
DEBIT,07/03/2024,"Kindle Svcs*R78EG3ZO1 888-802-3080 WA        07/03",-6.48,DEBIT_CARD, ,,
DEBIT,07/02/2024,"CG BOLD+ CAMPGLADIATOR TX                    07/02",-79.00,DEBIT_CARD, ,,
DEBIT,07/01/2024,"Kindle Svcs*RC5K30GV1 888-802-3080 WA        06/28",-4.32,DEBIT_CARD, ,,
DEBIT,07/01/2024,"GOOGLE *WM Max LLC g.co/helppay# CA          06/29",-17.31,DEBIT_CARD, ,,
DEBIT,07/01/2024,"Peacock C2BC9 Premium 212-6640138 NY         06/29",-6.48,DEBIT_CARD, ,,
DEBIT,07/01/2024,"BUC-EE'S #59 HILLSBORO TX                    06/28",-29.34,DEBIT_CARD, ,,
DEBIT,07/01/2024,"AMAZON MKTPL*RC1ZX39 Amzn.com/bill WA        07/01",-20.84,DEBIT_CARD, ,,
DEBIT,07/01/2024,"Prime Video Channels amzn.com/bill WA        06/30",-7.57,DEBIT_CARD, ,,
DEBIT,07/01/2024,"Audible*RC50X2SQ1 Amzn.com/bill NJ           06/30",-16.18,DEBIT_CARD, ,,
