Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/12/2024,"AMAZON PRIME*RN8JR6HR 888-802-3080 WA        03/12",-4.32,DEBIT_CARD, ,,
DEBIT,03/11/2024,"AMAZON PRIME*R65PI8A6 888-802-3080 WA        03/09",-9.73,DEBIT_CARD, ,,
DEBIT,03/11/2024,"CENTRAL MARKET #552 DALLAS TX        116301  03/09",-90.39,DEBIT_CARD, ,,
DEBIT,03/11/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             03/10",-16.13,DEBIT_CARD, ,,
DEBIT,03/08/2024,"SA SPCIALTIES 210-658-0440 TX                03/07",-2748.00,DEBIT_CARD, ,,
DEBIT,03/08/2024,"Gabriela & Sophias Mexi Dallas TX            03/07",-63.59,DEBIT_CARD, ,,
DEBIT,03/07/2024,"SANDY HOOK PROMISE ACT 203-3049780 CT        03/06",-10.00,DEBIT_CARD, ,,
DEBIT,03/07/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-425.28,ACH_DEBIT, ,,
DEBIT,03/06/2024,"SA SPCIALTIES 210-658-0440 TX                03/05",-5000.00,DEBIT_CARD, ,,
DEBIT,03/05/2024,"TST* WHITE ROCK COFFEE Dallas TX             03/04",-17.02,DEBIT_CARD, ,,
DEBIT,03/05/2024,"POTBELLY HTTPSWWW.POTB UT                    03/04",-25.31,DEBIT_CARD, ,,
DEBIT,03/04/2024,"TST* BUZZ & BUSTLE Dallas TX                 03/01",-15.68,DEBIT_CARD, ,,
DEBIT,03/04/2024,"GOOGLE *Google Storag 855-836-3987 CA        03/02",-2.12,DEBIT_CARD, ,,
DEBIT,03/04/2024,"CG BOLD+ CAMPGLADIATOR TX                    03/02",-69.00,DEBIT_CARD, ,,
DEBIT,03/04/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        03/04",-72.35,DEBIT_CARD, ,,
DEBIT,03/04/2024,"EWC Dallas Old Town Dallas TX                03/04",-77.00,DEBIT_CARD, ,,
DEBIT,03/04/2024,"ELM ST SHARED ACCOUNT DALLAS TX              03/01",-14.00,DEBIT_CARD, ,,
DEBIT,03/01/2024,"POTBELLY #234 DALLAS TX                      02/28",-30.83,DEBIT_CARD, ,,
DEBIT,03/01/2024,"Prime Video Channels amzn.com/bill WA        02/29",-7.57,DEBIT_CARD, ,,
DEBIT,03/01/2024,"Audible*RZ7VI1PC2 Amzn.com/bill NJ           02/29",-16.18,DEBIT_CARD, ,,
