Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/23/2024,"ELM ST SHARED ACCOUNT DALLAS TX              05/22",-9.00,DEBIT_CARD, ,,
DEBIT,05/23/2024,"TST* BUZZ & BUSTLE Dallas TX                 05/22",-14.88,DEBIT_CARD, ,,
DEBIT,05/22/2024,"CENTRAL MARKET #552 DALLAS TX        877088  05/22",-4.60,DEBIT_CARD, ,,
DEBIT,05/20/2024,"SOUTHWES    526229497 800-435-9792 TX        05/17",-681.92,DEBIT_CARD, ,,
DEBIT,05/20/2024,"M NAIL BAR DALLAS TX                         05/17",-137.50,DEBIT_CARD, ,,
DEBIT,05/20/2024,"MISTER CHARLES DALLAS TX                     05/18",-50.30,DEBIT_CARD, ,,
DEBIT,05/20/2024,"TOM THUMB FS2642 DALLAS TX                   05/18",-41.45,DEBIT_CARD, ,,
DEBIT,05/20/2024,"POTBELLY #234 DALLAS TX                      05/18",-23.27,DEBIT_CARD, ,,
DEBIT,05/20/2024,"MIDWAY AUTO CENTER CARROLLTON TX     576287  05/18",-258.83,DEBIT_CARD, ,,
DEBIT,05/20/2024,"AMAZON PRIME*JC9S364L 888-802-3080 WA        05/18",-5.40,DEBIT_CARD, ,,
DEBIT,05/16/2024,"TOM THUMB #2642 DALLAS TX            431366  05/16",-23.61,DEBIT_CARD, ,,
DEBIT,05/15/2024,"ELM ST SHARED ACCOUNT DALLAS TX              05/14",-9.00,DEBIT_CARD, ,,
DEBIT,05/15/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        05/15",-80.01,DEBIT_CARD, ,,
DEBIT,05/15/2024,"Spectrum 855-707-7328 MO                     05/15",-65.33,DEBIT_CARD, ,,
DEBIT,05/14/2024,"SQ *J'S DONUT DALLAS TX                      05/14",-25.37,DEBIT_CARD, ,,
DEBIT,05/13/2024,"ELM ST SHARED ACCOUNT DALLAS TX              05/10",-9.00,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*6K1KI10 Amzn.com/bill WA        05/10",-10.81,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*8Y4SY5Y Amzn.com/bill WA        05/10",-68.11,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*MX2E62K Amzn.com/bill WA        05/11",-18.39,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*XM1U30L Amzn.com/bill WA        05/11",-15.12,DEBIT_CARD, ,,
DEBIT,05/13/2024,"TST* MEXICAN BAR COMPAN PLANO TX             05/11",-68.30,DEBIT_CARD, ,,
DEBIT,05/13/2024,"NTTA AUTOCHARGE 972-818-6882 TX              05/11",-20.00,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*3S0NT4X Amzn.com/bill WA        05/11",-43.24,DEBIT_CARD, ,,
DEBIT,05/13/2024,"GOING.COM/HELP HTTPSWWW.GOIN CO              05/11",-53.04,DEBIT_CARD, ,,
DEBIT,05/13/2024,"WORLD MARKET  #102 DALLAS TX                 05/11",-66.43,DEBIT_CARD, ,,
DEBIT,05/13/2024,"TST* WHITE ROCK COFFEE Dallas TX             05/11",-16.78,DEBIT_CARD, ,,
DEBIT,05/13/2024,"POTBELLY HTTPSWWW.POTB TX                    05/11",-34.97,DEBIT_CARD, ,,
DEBIT,05/13/2024,"ROOMSTOGO.COM STRPAY 813-623-5400 FL         05/12",-1231.55,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMAZON PRIME*QN41T3DR 888-802-3080 WA        05/12",-4.32,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*K602B7C Amzn.com/bill WA        05/13",-51.95,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*573XW2R Amzn.com/bill WA        05/13",-23.80,DEBIT_CARD, ,,
DEBIT,05/13/2024,"AMZN Mktp US*A05S69C Amzn.com/bill WA        05/13",-10.81,DEBIT_CARD, ,,
DEBIT,05/10/2024,"LYFT   *INCREASE TIP HELP.LYFT.COM CA        05/10",-3.00,DEBIT_CARD, ,,
DEBIT,05/10/2024,"SQ *MOUDI'S DALLAS TX                        05/09",-8.75,DEBIT_CARD, ,,
DEBIT,05/10/2024,"LYFT   *2 RIDES 05-0 HELP.LYFT.COM CA        05/10",-32.84,DEBIT_CARD, ,,
DEBIT,05/10/2024,"Amazon.com*JF3V49ZY3 Amzn.com/bill WA        05/10",-19.30,DEBIT_CARD, ,,
DEBIT,05/09/2024,"ELM ST SHARED ACCOUNT DALLAS TX              05/08",-9.00,DEBIT_CARD, ,,
DEBIT,05/09/2024,"PETSMART # 1232 DALLAS TX            126762  05/09",-45.62,DEBIT_CARD, ,,
DEBIT,05/07/2024,"AMZN Mktp US*T40GT72 Amzn.com/bill WA        05/07",-20.56,DEBIT_CARD, ,,
DEBIT,05/06/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             05/03",-22.41,DEBIT_CARD, ,,
DEBIT,05/06/2024,"BLUE FIG MARKET PLANO TX             001727  05/04",-94.54,DEBIT_CARD, ,,
DEBIT,05/06/2024,"TOM THUMB #2642 DALLAS TX            388477  05/05",-56.63,DEBIT_CARD, ,,
DEBIT,05/06/2024,"MASSAGE HEIGHTS-LAKE WWW.MASSAGEHE TX        05/05",-179.99,DEBIT_CARD, ,,
DEBIT,05/06/2024,"TST* WHITE ROCK COFFEE Dallas TX             05/05",-15.16,DEBIT_CARD, ,,
DEBIT,05/06/2024,"CHEVRON 0303931 DALLAS TX                    05/05",-20.11,DEBIT_CARD, ,,
DEBIT,05/06/2024,"VENMO  *Cynthia Hsieh Visa Direct NY         05/06",-45.00,DEBIT_CARD, ,,
DEBIT,05/06/2024,"TESOLIFE FRISCO TX                           05/05",-2.49,DEBIT_CARD, ,,
DEBIT,05/06/2024,"Mindful Dermatology Dallas TX                05/06",-142.94,DEBIT_CARD, ,,
DEBIT,05/03/2024,"GOOGLE *Google Stora g.co/helppay# CA        05/02",-2.12,DEBIT_CARD, ,,
DEBIT,05/03/2024,"TST* WHITE ROCK COFFEE Dallas TX             05/02",-7.52,DEBIT_CARD, ,,
DEBIT,05/02/2024,"LYFT   *1 RIDE 04-30 HELP.LYFT.COM CA        05/02",-9.32,DEBIT_CARD, ,,
DEBIT,05/02/2024,"ELM ST SHARED ACCOUNT DALLAS TX              05/01",-9.00,DEBIT_CARD, ,,
DEBIT,05/02/2024,"CG BOLD+ CAMPGLADIATOR TX                    05/02",-79.00,DEBIT_CARD, ,,
DEBIT,05/01/2024,"AMZN Mktp US*D00B71E Amzn.com/bill WA        05/01",-41.96,DEBIT_CARD, ,,
DEBIT,05/01/2024,"Prime Video Channels amzn.com/bill WA        04/30",-7.57,DEBIT_CARD, ,,
DEBIT,05/01/2024,"Audible*YC8WT0HY3 Amzn.com/bill NJ           04/30",-16.18,DEBIT_CARD, ,,
DEBIT,05/01/2024,"CENTRAL MARKET #552 DALLAS TX        611163  05/01",-74.09,DEBIT_CARD, ,,
