Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/08/2024,"CENTRAL MARKET #552 DALLAS TX        654297  04/06",-40.39,DEBIT_CARD, ,,
DEBIT,04/08/2024,"VELVET TACO GREENVILLE 469-2488226 TX        04/07",-52.13,DEBIT_CARD, ,,
DEBIT,04/08/2024,"AMZN Mktp US*2I8TJ1L Amzn.com/bill WA        04/08",-32.19,DEBIT_CARD, ,,
DEBIT,04/08/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-651.92,ACH_DEBIT, ,,
DEBIT,04/05/2024,"TST* ROMAN CUCINA - DAL Dallas TX            04/04",-38.89,DEBIT_CARD, ,,
DEBIT,04/05/2024,"PREPLY INC. PREPLY.COM MA                    04/05",-10.80,DEBIT_CARD, ,,
DEBIT,04/04/2024,"LOFT ECOMMERCE 800-342-5266 NY               04/04",-68.15,DEBIT_CARD, ,,
DEBIT,04/04/2024,"LOFT ECOMMERCE 800-342-5266 NY               04/04",-77.84,DEBIT_CARD, ,,
DEBIT,04/04/2024,"ELM ST SHARED ACCOUNT DALLAS TX              04/03",-14.00,DEBIT_CARD, ,,
DEBIT,04/04/2024,"CVS/PHARMACY #06 06824 DALLAS TX     129321  04/04",-47.09,DEBIT_CARD, ,,
DEBIT,04/03/2024,"GOOGLE *Google Stora g.co/helppay# CA        04/02",-2.12,DEBIT_CARD, ,,
DEBIT,04/02/2024,"STARBUCKS STORE 23318 DALLAS TX              04/01",-1.20,DEBIT_CARD, ,,
DEBIT,04/02/2024,"CG BOLD+ CAMPGLADIATOR TX                    04/02",-79.00,DEBIT_CARD, ,,
DEBIT,04/02/2024,"Zelle payment to CAROL JPM99aeuxc40",-10.00,CHASE_TO_PARTNERFI, ,,
DEBIT,04/01/2024,"TOM THUMB FS2642 DALLAS TX                   03/29",-47.02,DEBIT_CARD, ,,
DEBIT,04/01/2024,"AMAZON PRIME*RA01151M 888-802-3080 WA        03/30",-1.07,DEBIT_CARD, ,,
DEBIT,04/01/2024,"Audible*CJ2UI3733 Amzn.com/bill NJ           03/30",-16.18,DEBIT_CARD, ,,
DEBIT,04/01/2024,"Prime Video Channels amzn.com/bill WA        03/30",-7.57,DEBIT_CARD, ,,
DEBIT,04/01/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             03/30",-16.13,DEBIT_CARD, ,,
DEBIT,04/01/2024,"CVS/PHARMACY #10 10909 DALLAS TX     714415  03/31",-8.55,DEBIT_CARD, ,,
DEBIT,04/01/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        04/01",-76.37,DEBIT_CARD, ,,
DEBIT,04/01/2024,"EWC Dallas Old Town Dallas TX                04/01",-75.00,DEBIT_CARD, ,,
DEBIT,04/01/2024,"LOFT 1928 DALLAS TX                  894879  04/01",-32.46,DEBIT_CARD, ,,
DEBIT,04/01/2024,"OLD NAVY US 5900 DALLAS TX           492057  04/01",-300.34,DEBIT_CARD, ,,
